pdsi_id  , extensao_territorial  , municipio_sede  , endereco  , email , numero_municipios , populacao_indigena  , etnias  , numero_polos_base , numero_sede_polos_base  , numero_ubsi , numero_regioes_de_saude , numero_casais , numero_aldeias  , numero_familias , meios_de_transporte , created_at  , updated_at  , fluvial , rodoviario  , aereo
17 ,"54297,14052","Curitiba - PR","RUA CÂNDIDO LOPES, Nº 208, SALA Nº 807, Centro, 80020060" ,"dseilitoral.sesai@saude.gov.br ; vilma.depetris@saude.gov.br ",45  , 7918  , 15  , 15  ,null,null, 21  , 3 , 193 , 546 ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
18 ,"210755,4754","Manaus - AM","AV DJALMA BATISTA 1018, bairro Chapada, CEP 69050010" ,"dsei_am@saude.gov.br ; adarcyline.rodrigues@saude.gov.br ",16  , 26546 , 41  , 16  ,null,null, 4 , 1 , 217 , 5799  ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
19 ,"66667,48687","São Luis - MA","RUA 5 DE JANEIRO, 166, bairro Jordôa, CEP 65040650" ,"dseima@saude.gov.br ; alexandre.cantuaria@saude.gov.br ",16  , 33826 , 13  , 6 ,null,null, 5 , 5 , 535 , 998 ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
20 ,"214208,1129","Campo Grande - MS","RUA PROFESSOR LUIZ ALEXANDRE DE OLIVEIRA, 689, bairro Royal Park, CEP 79021430 ","dseims@saude.gov.br ; ilario.silva@saude.gov.br",30  , 77568 , 15  , 15  ,null,null, 4 , 3 , 96  , 972 ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
21 ,"117297,0662","Lábrea - AM","TRAVESSA PADRE MONTEIRO, NR. 165, bairro Centro, CEP 69830000","dseimrp@saude.gov.br ; jerfeson.caldas@saude.gov.br",3 , 7790  , 16  , 10  ,null,null, 1 , 2 , 97  , 182 ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
22 ,"296105,0064","Tefé - AM","RUA MONTEIRO DE SOUZA, 287, bairro Centro, 69550069","dseimrs@saude.gov.br ; narciso.barbosa@saude.gov.br",13  , 17584 , 25  , 15  ,null,null, 4 , 2 , 182 , 3183  ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
23 ,"21544,89861","Governador Valadares - MG","AVENIDA PIRACICABA 325, bairro ilha dos araujos, CEP 35020430","dseimg.sesai@saude.gov.br ; fatima.silva@saude.gov.br",15  , 14310 , 19  , 22  ,null,null, 11  , 1 , 96  , 337 ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
24 ,"54506,79693","Parintins - AM ","AVENIDA SILVA CAMPOS Nº 1433 - CENTRO, CEP 69153293","dseipar@saude.gov.br  paulac.rodrigues@saude.gov.br",4 , 15674 , 8 , 12  ,null,null, 2 , 2 , 124 , 2736  ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
25 ,"15157,87272","Recife - PE","AV GOVERNADOR AGAMENON MAGALHES,  bairro Boa Vista, CEP 50050290" ,"dseipe@saude.gov.br ; antonio.f.silva@saude.gov.br ",15  , 50037 , 20  , 12  ,null,null, 6 , 1 , 256 , 746 ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
26 ,"178968,9269","Porto Velho - RO ","RUA RAFAEL VAZ E SILVA 2646, bairro Liberdade, CEP 76803890","dseipvh.sesai@saude.gov.br ;  jaumir.ferreira@saude.gov.br ",12  , 11527 , 66  , 5 ,null,null, 6 , 5 , 182 , 2173  ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
27 ,"699,8052162","João Pessoa - PB ","AVENIDA EPITÁCIO PESSOA, bairro Pedro Gondim, CEP 58031003" ,"desipoti@saude.gov.br ; adriano.andrade@saude.gov.br ",3 , 16385 , 2 , 3 ,null,null, 1 , 0 , 35  , 134 ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
28 ,"164377,3013","Itaituba - PA","AVENIDA SANTA CATARINA 96, bairro Bela Vista, CEP 68180210" ,"dseitap.sesai@saude.gov.br ; cleidiane.santos@saude.gov.br ",3 , 10373 , 8 , 11  ,null,null, 1 , 3 , 123 , 1958  ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
29 ,"74635,50888","Palmas - TO","QUADRA 103 SUL , LOTE 82, AV LO 01, bairro Plano Diretor Sul, CEP 77015028" ,"dseito.sesai@saude.gov.br ; ivaneizilia.noleto@saude.gov.br",10  , 11008 , 21  , 5 ,null,null, 7 , 2 , 156 , 775 ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
30 ,"90546,44508","Atalaia do Norte - AM","RUA RAIMUNDO GUIMAQUE DO NASCIMENTO SN, bairro Santa Luzia, CEP 69650000" ,"herodoto.sales@saude.gov.br",1 , 5488  , 9 , 8 ,null,null, 1 , 1 , 67  , 451 ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
31 ,"183457,5493","Cacoal - RO","RUA FLORIANO PEIXOTO 2021, bairro Jardim Clodoaldo, CEP  76963700","dseivlh.sesai@saude.gov.br ; alda.uchoa@saude.gov.br ",12  , 7970  , 45  , 4 ,null,null, 6 , 4 , 184 , 1173  ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
32 ,"70377,21866","Barra do Garças - MT ","RUA PIRES DE CAMPOS, Centro. CEP 78600000","claudio.rodrigues@saude.gov.br ",9 , 18588 , 2 , 6 ,null,null, 3 , 3 , 279 , 1034  ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
33 ,"38501,72304","Canarana - MT","AVENIDA GOIÁS, 97, bairro Jardim Tropical, CEP 78640000"," ",5 , 6596  , 24  , 4 ,null,null, 5 , 3 , 94  , 578 ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
34 ,"96249,57504","Boa Vista - RR ","AVENIDA CECILIA BRASIL 1043, Centro, 69301080","dseiyan@saude.gov.br ; maria.dejsesus@saude.gov.br ",3 , 21249 , 4 , 37  ,null,null, 3 , 1 , 305 , 2205  ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
